player_id,inducted,g,ab,r,h,x2b,x3b,hr,rbi,sb,cs,bb,so,last_year
aaronha01,1,3298,12364,2174,3771,624,98,755,2297,240,73,1402,1383,1976
aaronto01,0,437,944,102,216,42,6,13,94,9,8,86,145,1971
aasedo01,0,448,5,0,0,0,0,0,0,0,0,0,3,1990
abbated01,0,855,3044,355,772,99,43,11,324,142,0,289,16,1910
abbotgl01,0,248,0,0,0,0,0,0,0,0,0,0,0,1984
abbotji01,0,263,21,0,2,0,0,0,3,0,0,0,10,1999
abernte02,0,681,181,12,25,3,0,0,9,0,0,6,74,1972
ackerji01,0,467,54,2,9,1,0,0,1,0,0,2,32,1992
adairje01,0,1165,4019,378,1022,163,19,57,366,29,29,208,499,1970
adamsba01,0,482,1019,79,216,31,15,3,75,1,1,53,177,1926
adamsbe01,0,267,678,37,137,17,4,2,45,9,0,23,79,1919
adamsbo03,0,1281,4019,591,1082,188,49,37,303,67,30,414,447,1959
adamssp01,0,1424,5557,844,1588,249,48,9,394,154,50,453,223,1934
adcocjo01,0,1959,6606,823,1832,295,35,336,1122,20,25,594,1059,1966
ageeto01,0,1129,3912,558,999,170,27,130,433,167,81,342,918,1973
agostju01,0,543,20,0,2,0,0,0,0,0,0,1,7,1993
aguaylu01,0,568,1104,142,260,43,10,37,109,7,5,94,220,1989
aguilri01,0,737,139,12,28,3,0,3,11,0,0,6,37,2000
aguirha01,0,447,388,14,33,7,1,0,21,1,0,14,236,1970
ainsmed01,0,1078,3048,299,707,108,54,22,317,86,16,263,315,1924
akerja01,0,496,92,3,7,2,0,0,4,0,0,1,51,1974
aldremi01,0,930,2147,277,565,104,9,41,271,19,18,314,381,1996
aldresc01,0,229,1,0,0,0,0,0,0,0,0,0,1,2000
aldrivi01,0,248,581,46,133,14,4,2,60,2,0,10,41,1928
alexado01,0,562,265,19,44,8,0,0,17,0,0,9,77,1989
alexape01,1,703,1810,154,378,60,13,11,163,3,5,77,276,1930
alicelu01,0,1341,3971,551,1031,189,53,47,422,81,50,500,624,2002
allanan01,0,512,1486,145,357,48,4,16,140,23,18,87,223,1995
allenbe01,0,1139,3404,357,815,140,21,73,351,13,16,370,424,1973
allenbo01,0,606,2211,337,532,77,44,14,306,53,0,297,209,1900
allendi01,0,1749,6332,1099,1848,320,79,351,1119,133,52,894,1556,1977
allenet01,0,1281,4418,623,1325,255,45,47,501,84,4,223,310,1938
allenjo02,0,365,716,82,124,12,3,4,64,1,0,33,155,1944
allenne01,0,434,115,3,15,2,2,0,7,0,0,3,51,1989
alleyge01,0,1195,3927,442,999,140,44,55,342,63,30,300,622,1973
allisbo01,0,1541,5032,811,1281,216,53,256,796,84,50,795,1033,1970
allisdo01,0,318,1407,236,381,43,10,2,140,5,2,22,40,1883
almonbi01,0,1236,3330,390,846,138,25,36,296,128,60,250,636,1988
alomaro01,1,2379,9073,1508,2724,504,80,210,1134,474,114,1032,1140,2004
alomasa01,0,1481,4760,558,1168,126,19,13,282,227,80,302,482,1978
aloufe01,0,2082,7339,985,2101,359,49,206,852,107,67,423,706,1974
alouje01,0,1380,4345,448,1216,170,26,32,377,31,46,138,267,1979
alouma01,0,1667,5789,780,1777,236,50,31,427,156,80,311,377,1974
altroni01,0,230,550,52,97,9,1,2,27,5,1,29,0,1933
alvarlu01,0,463,1160,116,248,43,4,5,84,11,10,49,160,1977
amalfjo01,0,643,1715,248,418,67,19,9,123,19,26,185,224,1967
amarari01,0,727,1788,305,493,82,10,11,159,112,39,176,277,2000
amaroru01,0,940,2155,211,505,75,13,8,156,11,14,227,280,1969
amesre01,0,533,1014,52,143,10,7,3,63,5,1,61,204,1919
anderbr01,0,1834,6499,1062,1661,338,67,210,761,315,100,960,1190,2002
anderda02,0,873,2026,244,490,73,12,19,143,49,30,206,331,1992
anderfr01,0,180,312,17,41,6,1,0,12,0,0,10,98,1918
anderjo01,0,1635,6341,870,1841,328,124,49,976,338,0,310,55,1908
anderla02,0,699,38,4,5,0,0,0,0,0,0,3,15,1994
andrena01,0,128,240,8,35,5,0,0,16,0,0,23,66,1946
andujjo01,0,407,607,31,77,12,2,5,38,7,3,30,315,1988
ansonca01,1,2523,10277,1996,3418,581,142,97,2076,276,16,983,302,1897
antonjo02,0,403,679,56,121,12,3,15,59,1,0,26,175,1961
aparilu01,1,2601,10230,1335,2677,394,92,83,791,506,136,736,742,1973
applepe01,0,343,374,30,87,8,7,0,34,0,1,8,66,1945
applilu01,1,2422,8856,1319,2749,440,102,45,1116,179,108,1302,528,1950
aquinlu01,0,222,35,2,4,0,0,0,0,0,0,1,9,1995
archeji01,0,847,2646,246,660,106,34,16,296,36,6,124,241,1918
ariasal01,0,775,1773,203,470,84,6,18,196,10,5,181,211,2002
armasto01,0,1432,5164,614,1302,204,39,251,815,18,20,260,1201,1989
arnovmo01,0,590,2013,234,577,104,12,22,261,17,0,185,139,1946
arrigge01,0,195,179,10,27,6,1,1,11,0,0,9,59,1970
arroyfe01,0,121,0,0,0,0,0,0,0,0,0,0,0,1986
arundha01,0,16,60,10,11,0,0,0,1,0,0,6,1,1884
ashburi01,1,2189,8365,1322,2574,317,109,29,586,234,92,1198,571,1962
ashbyal01,0,1370,4123,397,1010,183,13,90,513,7,10,461,622,1989
asprobo01,0,1324,4369,386,1103,135,26,60,457,19,24,333,459,1971
assenpa01,0,884,36,3,3,1,0,0,0,0,0,5,12,1999
astrojo01,0,544,1579,163,401,51,10,13,156,6,6,177,124,1956
auerbri01,0,624,1407,167,309,56,5,9,86,36,21,127,198,1981
augusje01,0,279,0,0,0,0,0,0,0,0,0,0,0,1984
aukerel01,0,356,700,73,131,15,9,6,72,2,0,41,232,1942
austiji01,0,1580,5388,661,1328,174,76,13,390,244,43,592,363,1929
averiea01,1,1668,6353,1224,2019,401,128,238,1164,70,57,774,518,1941
